timestamp,R_joint_0_x,R_joint_0_y,R_joint_0_z,R_joint_1_x,R_joint_1_y,R_joint_1_z,R_joint_2_x,R_joint_2_y,R_joint_2_z,R_joint_3_x,R_joint_3_y,R_joint_3_z,R_joint_4_x,R_joint_4_y,R_joint_4_z,R_joint_5_x,R_joint_5_y,R_joint_5_z,R_joint_6_x,R_joint_6_y,R_joint_6_z,R_joint_7_x,R_joint_7_y,R_joint_7_z,R_joint_8_x,R_joint_8_y,R_joint_8_z,R_joint_9_x,R_joint_9_y,R_joint_9_z,R_joint_10_x,R_joint_10_y,R_joint_10_z,R_joint_11_x,R_joint_11_y,R_joint_11_z,R_joint_12_x,R_joint_12_y,R_joint_12_z,R_joint_13_x,R_joint_13_y,R_joint_13_z,R_joint_14_x,R_joint_14_y,R_joint_14_z,R_joint_15_x,R_joint_15_y,R_joint_15_z,R_joint_16_x,R_joint_16_y,R_joint_16_z,R_joint_17_x,R_joint_17_y,R_joint_17_z,R_joint_18_x,R_joint_18_y,R_joint_18_z,R_joint_19_x,R_joint_19_y,R_joint_19_z,R_joint_20_x,R_joint_20_y,R_joint_20_z,L_joint_0_x,L_joint_0_y,L_joint_0_z,L_joint_1_x,L_joint_1_y,L_joint_1_z,L_joint_2_x,L_joint_2_y,L_joint_2_z,L_joint_3_x,L_joint_3_y,L_joint_3_z,L_joint_4_x,L_joint_4_y,L_joint_4_z,L_joint_5_x,L_joint_5_y,L_joint_5_z,L_joint_6_x,L_joint_6_y,L_joint_6_z,L_joint_7_x,L_joint_7_y,L_joint_7_z,L_joint_8_x,L_joint_8_y,L_joint_8_z,L_joint_9_x,L_joint_9_y,L_joint_9_z,L_joint_10_x,L_joint_10_y,L_joint_10_z,L_joint_11_x,L_joint_11_y,L_joint_11_z,L_joint_12_x,L_joint_12_y,L_joint_12_z,L_joint_13_x,L_joint_13_y,L_joint_13_z,L_joint_14_x,L_joint_14_y,L_joint_14_z,L_joint_15_x,L_joint_15_y,L_joint_15_z,L_joint_16_x,L_joint_16_y,L_joint_16_z,L_joint_17_x,L_joint_17_y,L_joint_17_z,L_joint_18_x,L_joint_18_y,L_joint_18_z,L_joint_19_x,L_joint_19_y,L_joint_19_z,L_joint_20_x,L_joint_20_y,L_joint_20_z
1783390582.686622,0.6727498173713684,0.7987980842590332,2.576657607278321e-07,0.6402000784873962,0.7612263560295105,-0.01340069342404604,0.6242116093635559,0.683998167514801,-0.018698621541261673,0.6500035524368286,0.6346882581710815,-0.02409522607922554,0.6811651587486267,0.6351578831672668,-0.02972560003399849,0.6268314719200134,0.584351658821106,-0.002978804288432002,0.6213170886039734,0.5059036016464233,-0.010108944959938526,0.6202062964439392,0.45826536417007446,-0.01921967603266239,0.6202260851860046,0.41603437066078186,-0.027649927884340286,0.6492508053779602,0.5762952566146851,-0.0054970853962004185,0.6424153447151184,0.4903355538845062,-0.010193444788455963,0.6398789882659912,0.43688854575157166,-0.018128057941794395,0.6372281908988953,0.39025285840034485,-0.025315281003713608,0.6716787219047546,0.5855861306190491,-0.010637779720127583,0.6663636565208435,0.5052281618118286,-0.014973663724958897,0.6626911163330078,0.455853134393692,-0.02173505537211895,0.6584652662277222,0.41286927461624146,-0.027929076924920082,0.694838285446167,0.6064527034759521,-0.01808936335146427,0.6920473575592041,0.5436027646064758,-0.022051138803362846,0.68959641456604,0.5033201575279236,-0.02465519681572914,0.687228798866272,0.4677688181400299,-0.02773798070847988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1783390582.8456151,0.6751934289932251,0.7900630831718445,2.869819013540109e-07,0.6417821049690247,0.7504835724830627,-0.014660893939435482,0.6272878050804138,0.6708897352218628,-0.01978383958339691,0.6549182534217834,0.6212761998176575,-0.02465374767780304,0.687275230884552,0.6241731643676758,-0.02958500012755394,0.6294143795967102,0.5743744373321533,-0.0027560414746403694,0.6237707734107971,0.4949970543384552,-0.008923791348934174,0.6227232813835144,0.44688880443573,-0.017505178228020668,0.6230969429016113,0.4042154550552368,-0.025604350492358208,0.6522405743598938,0.5678575038909912,-0.004289633594453335,0.6451942920684814,0.48190534114837646,-0.008026337251067162,0.6423962712287903,0.4274396598339081,-0.01598263531923294,0.6397320628166199,0.380007803440094,-0.023208271712064743,0.6749011278152466,0.5783156156539917,-0.008521068841218948,0.670026421546936,0.49824032187461853,-0.011970625258982182,0.6654013395309448,0.4480023980140686,-0.019423354417085648,0.6604182124137878,0.40433743596076965,-0.026211300864815712,0.6981998682022095,0.5993641018867493,-0.01517378631979227,0.6955961585044861,0.5364830493927002,-0.018407929688692093,0.6930462121963501,0.4960087239742279,-0.02120736800134182,0.6909000277519226,0.45963403582572937,-0.02452528290450573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1783390583.0688572,0.6767220497131348,0.7949747443199158,2.396730849341111e-07,0.6439759731292725,0.7591974139213562,-0.013769307173788548,0.628413736820221,0.6798723936080933,-0.018294718116521835,0.6538187861442566,0.6272803544998169,-0.02287277579307556,0.6837629675865173,0.6308850646018982,-0.027549266815185547,0.6306835412979126,0.5816099643707275,-0.001053048181347549,0.6248296499252319,0.5038461089134216,-0.007121369708329439,0.623530387878418,0.4572453796863556,-0.015629036352038383,0.6232583522796631,0.41672027111053467,-0.023698652163147926,0.6532477736473083,0.5726280212402344,-0.003220117185264826,0.6461435556411743,0.48710396885871887,-0.0071235159412026405,0.6434074640274048,0.43357419967651367,-0.014426369220018387,0.640693187713623,0.3872585594654083,-0.021005431190133095,0.6757552623748779,0.5816367268562317,-0.00825788825750351,0.6694676876068115,0.5025171041488647,-0.012225699611008167,0.6659391522407532,0.4532735049724579,-0.018805785104632378,0.6623683571815491,0.410131573677063,-0.024773813784122467,0.6991567015647888,0.6016411781311035,-0.01571536436676979,0.6957249641418457,0.5394977927207947,-0.019425584003329277,0.6932197213172913,0.4996210038661957,-0.02202928438782692,0.6912522315979004,0.46370944380760193,-0.025079751387238503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1783390583.1889632,0.6764922142028809,0.7951071858406067,2.565193426562473e-07,0.6442255973815918,0.757830023765564,-0.012719864025712013,0.6287432312965393,0.6797784566879272,-0.017314668744802475,0.6546748876571655,0.6315088868141174,-0.0221669003367424,0.6856778860092163,0.6341374516487122,-0.027424925938248634,0.6318319439888,0.5788584351539612,-0.0017623825697228312,0.6263691186904907,0.500984787940979,-0.008474533446133137,0.6259084939956665,0.45424187183380127,-0.017412280663847923,0.6268818974494934,0.4126264154911041,-0.025748619809746742,0.6545097827911377,0.5705655813217163,-0.00463180523365736,0.6479746699333191,0.48511749505996704,-0.009068114683032036,0.6457456350326538,0.4313291013240814,-0.017215730622410774,0.6436058282852173,0.3840831220149994,-0.024521145969629288,0.6770985126495361,0.5800275206565857,-0.010141673497855663,0.6723181009292603,0.5003029108047485,-0.014412768185138702,0.668515145778656,0.4514116048812866,-0.021746041253209114,0.6641606092453003,0.4081438481807709,-0.028320955112576485,0.7000884413719177,0.6013086438179016,-0.017888706177473068,0.697258710861206,0.5386724472045898,-0.0219563040882349,0.6948913931846619,0.49859240651130676,-0.02498302049934864,0.692686915397644,0.46228912472724915,-0.028365841135382652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1783390583.317072,0.6779111623764038,0.7993387579917908,2.381098198611653e-07,0.645568311214447,0.7632781863212585,-0.013705631718039513,0.629884660243988,0.6844214200973511,-0.018739094957709312,0.6555463075637817,0.6333134770393372,-0.023849211633205414,0.6859892010688782,0.6373942494392395,-0.02923625521361828,0.6334327459335327,0.5828801393508911,-0.002555450890213251,0.6283583045005798,0.5048611760139465,-0.009655330330133438,0.6276723146438599,0.4579297602176666,-0.018981050699949265,0.6279463171958923,0.417005717754364,-0.027679430320858955,0.6563708782196045,0.5742177367210388,-0.005098891910165548,0.6501820683479309,0.4885372221469879,-0.009936691261827946,0.6480292677879333,0.4345639646053314,-0.018195588141679764,0.6455048322677612,0.3872052729129791,-0.025581669062376022,0.6788956522941589,0.5836257934570312,-0.010379796847701073,0.674068808555603,0.5038852095603943,-0.01498599722981453,0.6706752777099609,0.4545137584209442,-0.022259652614593506,0.6665990948677063,0.4110201895236969,-0.02881435863673687,0.7017914056777954,0.6051988005638123,-0.018017932772636414,0.6990378499031067,0.5433219075202942,-0.022417139261960983,0.6965301036834717,0.5031483769416809,-0.025624901056289673,0.6942922472953796,0.46723291277885437,-0.029136797413229942,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1783390583.490016,0.679550051689148,0.8045322895050049,2.428381549179903e-07,0.6474961638450623,0.7680084705352783,-0.013407837599515915,0.6320337653160095,0.689785897731781,-0.018706737086176872,0.6573313474655151,0.6396139860153198,-0.024195771664381027,0.6876439452171326,0.6435873508453369,-0.029996344819664955,0.6359412670135498,0.587287425994873,-0.002889913273975253,0.6310721635818481,0.5091477632522583,-0.010552986524999142,0.6300371289253235,0.4616636633872986,-0.020162180066108704,0.6299591660499573,0.4201327860355377,-0.028925389051437378,0.6583887338638306,0.578741729259491,-0.0058033219538629055,0.6524015665054321,0.4925031363964081,-0.011161879636347294,0.6499965190887451,0.43775075674057007,-0.019576244056224823,0.6473654508590698,0.38996633887290955,-0.02691408433020115,0.6806219816207886,0.588301956653595,-0.011397755704820156,0.6759651899337769,0.5079596042633057,-0.016399752348661423,0.6724214553833008,0.45810386538505554,-0.023568451404571533,0.6682444214820862,0.41426748037338257,-0.02988508716225624,0.7033417820930481,0.6103795170783997,-0.019322428852319717,0.7008389234542847,0.5482562184333801,-0.023856546729803085,0.6984947919845581,0.507872462272644,-0.02680836245417595,0.6963996887207031,0.47192734479904175,-0.029998794198036194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1783390583.601699,0.6809550523757935,0.8077408671379089,2.443205175950425e-07,0.6483774185180664,0.7691124677658081,-0.013429111801087856,0.6337797045707703,0.6917280554771423,-0.01883264072239399,0.6599377393722534,0.641497015953064,-0.02439923770725727,0.6898534297943115,0.6448334455490112,-0.030264850705862045,0.6382073163986206,0.5900077819824219,-0.0026163002476096153,0.6332053542137146,0.5109034776687622,-0.010119345039129257,0.6325485110282898,0.4632125496864319,-0.019682960584759712,0.6329613327980042,0.4211413562297821,-0.028407536447048187,0.6609818935394287,0.5819907188415527,-0.005383203737437725,0.6549956798553467,0.4957038462162018,-0.010489290580153465,0.6529821753501892,0.4415053129196167,-0.01885996386408806,0.6507887244224548,0.3941374123096466,-0.02624206431210041,0.6832981109619141,0.591791033744812,-0.010838308371603489,0.6787214279174805,0.5117989778518677,-0.015574059449136257,0.6754394769668579,0.4622562527656555,-0.022632811218500137,0.6715303063392639,0.41891372203826904,-0.028951838612556458,0.7063124179840088,0.613741397857666,-0.01864166557788849,0.7037918567657471,0.551233172416687,-0.022860268130898476,0.701503336429596,0.5110682249069214,-0.025645211338996887,0.6992521286010742,0.4754369258880615,-0.028786251321434975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1783390583.758152,0.6832093000411987,0.8079409599304199,2.567147703302908e-07,0.6511976718902588,0.7681952714920044,-0.01403782982379198,0.637370228767395,0.6900618672370911,-0.01939626969397068,0.6645171642303467,0.6415684223175049,-0.024724435061216354,0.6950976848602295,0.6466427445411682,-0.03012121096253395,0.6416804194450378,0.5902725458145142,-0.0022798816207796335,0.637138307094574,0.5124366283416748,-0.009227694012224674,0.6367706060409546,0.46489545702934265,-0.018465418368577957,0.6374768018722534,0.42256879806518555,-0.026925159618258476,0.6643524169921875,0.5829731225967407,-0.0044554066844284534,0.6589776873588562,0.49750036001205444,-0.008713090792298317,0.657101035118103,0.44310519099235535,-0.016568252816796303,0.6550618410110474,0.3952608108520508,-0.023645615205168724,0.6865320801734924,0.5931693315505981,-0.009370089508593082,0.6826651692390442,0.5145134329795837,-0.013239610940217972,0.6791986227035522,0.46411383152008057,-0.019812757149338722,0.6752216219902039,0.42026636004447937,-0.025799520313739777,0.7093827724456787,0.6147996783256531,-0.016740594059228897,0.7074393630027771,0.552187979221344,-0.019973723217844963,0.7054314613342285,0.5116755962371826,-0.02202524058520794,0.7036322355270386,0.4759094715118408,-0.024671493098139763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1783390583.8877351,0.6876291632652283,0.8082736134529114,2.539285048897e-07,0.6549417972564697,0.7682441473007202,-0.013922557234764099,0.6414278149604797,0.6903024911880493,-0.0191926471889019,0.6685587763786316,0.6419554948806763,-0.02444559894502163,0.6986822485923767,0.6462571620941162,-0.029785804450511932,0.6455479264259338,0.5913637280464172,-0.0019706089515239,0.6410952210426331,0.5135773420333862,-0.009020037017762661,0.6411645412445068,0.46616217494010925,-0.018445566296577454,0.6423935890197754,0.42386534810066223,-0.027080342173576355,0.6682738661766052,0.5838967561721802,-0.004256084561347961,0.6629582643508911,0.4988252520561218,-0.008615865372121334,0.661193311214447,0.4446963369846344,-0.016842877492308617,0.6593465209007263,0.3965495824813843,-0.024239813908934593,0.6904380321502686,0.5939846038818359,-0.009283137507736683,0.6866236329078674,0.5152826905250549,-0.013289430178701878,0.6834005117416382,0.4648461639881134,-0.020201222971081734,0.6797566413879395,0.42039310932159424,-0.026496779173612595,0.7132943272590637,0.6156126856803894,-0.016735052689909935,0.7112588286399841,0.5530011057853699,-0.02028416283428669,0.7092475295066833,0.5126481056213379,-0.0226107370108366,0.7074918150901794,0.47655782103538513,-0.02546674758195877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1783390584.037962,0.6893926858901978,0.8097776770591736,2.5641568868195463e-07,0.6571722030639648,0.7719384431838989,-0.014170024544000626,0.6430671811103821,0.6921151876449585,-0.019312730059027672,0.669730007648468,0.6433500051498413,-0.024453893303871155,0.6999257206916809,0.6492593884468079,-0.02974492497742176,0.6470203399658203,0.5936087965965271,-0.002686948049813509,0.642621636390686,0.5153000354766846,-0.009919039905071259,0.6427409052848816,0.467668354511261,-0.01941695623099804,0.6440702080726624,0.4254845082759857,-0.02814592234790325,0.6697124242782593,0.585310697555542,-0.004901816602796316,0.6643649339675903,0.5001233220100403,-0.00961383618414402,0.6626712083816528,0.44613614678382874,-0.017826657742261887,0.660840630531311,0.3982205092906952,-0.025180410593748093,0.6919803619384766,0.5948642492294312,-0.009907160885632038,0.6882421970367432,0.5154924392700195,-0.014272273518145084,0.6852099895477295,0.4656282365322113,-0.021333126351237297,0.6816151142120361,0.4219345152378082,-0.02773456461727619,0.7147908806800842,0.6159347891807556,-0.01737133413553238,0.713138997554779,0.5540611743927002,-0.021347185596823692,0.7110971212387085,0.5139245986938477,-0.02416420355439186,0.7089967131614685,0.47801923751831055,-0.02740803360939026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
